task,system,query_id,product_type,relevant_count,ranking_depth,mrr,first_relevant_rank,recall@1,hit@1,ndcg@1,recall@5,hit@5,ndcg@5,recall@10,hit@10,ndcg@10,recall@50,hit@50,ndcg@50
image,faiss_flat,image_B00R2S3O2E,furniture_cover,1,1000,0.16666666666666666,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222
image,numpy_exact,image_B00S64D6BC,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,faiss_flat,image_B00S64D6BC,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,numpy_exact,image_B00UYL7C4C,home_bed_and_bath,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B00UYL7C4C,home_bed_and_bath,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B013R5TNPC,kitchen,1,1000,0.006289308176100629,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image,faiss_flat,image_B013R5TNPC,kitchen,1,1000,0.006289308176100629,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image,numpy_exact,image_B013URKMPC,necklace,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B013URKMPC,necklace,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B0142RXVJI,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B0142RXVJI,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B014PFRN9G,office_products,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B014PFRN9G,office_products,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B014QMQ1N2,home_bed_and_bath,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B014QMQ1N2,home_bed_and_bath,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B019ID1VW0,finenecklacebraceletanklet,1,1000,0.16666666666666666,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222
image,faiss_flat,image_B019ID1VW0,finenecklacebraceletanklet,1,1000,0.16666666666666666,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222
image,numpy_exact,image_B019ON8E2E,accessory_or_part_or_supply,1,1000,0.1111111111111111,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3010299956639812,1.0,1.0,0.3010299956639812
image,faiss_flat,image_B019ON8E2E,accessory_or_part_or_supply,1,1000,0.1111111111111111,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3010299956639812,1.0,1.0,0.3010299956639812
image,numpy_exact,image_B01BTGYGO4,home_bed_and_bath,1,1000,0.25,4,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306
image,faiss_flat,image_B01BTGYGO4,home_bed_and_bath,1,1000,0.25,4,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306
image,numpy_exact,image_B01DTCQ7EI,office_electronics,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01DTCQ7EI,office_electronics,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01GKJ2MLO,grocery,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01GKJ2MLO,grocery,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01HTF8XVQ,fashionearring,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B01HTF8XVQ,fashionearring,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B01JIRZ960,finering,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01JIRZ960,finering,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01JIWRS50,finering,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01JIWRS50,finering,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01L081FN6,vitamin,1,1000,0.16666666666666666,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222
image,faiss_flat,image_B01L081FN6,vitamin,1,1000,0.16666666666666666,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222
image,numpy_exact,image_B01LXUJAK8,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,faiss_flat,image_B01LXUJAK8,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,numpy_exact,image_B01M1GTISN,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,faiss_flat,image_B01M1GTISN,finenecklacebraceletanklet,1,1000,0.3333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
image,numpy_exact,image_B01M4LPCCU,finenecklacebraceletanklet,1,1000,0.0625,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24465054211822604
image,faiss_flat,image_B01M4LPCCU,finenecklacebraceletanklet,1,1000,0.0625,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24465054211822604
image,numpy_exact,image_B01M63YJ54,electronic_adapter,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01M63YJ54,electronic_adapter,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01MV2CFF6,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01MV2CFF6,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N16R5CF,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N16R5CF,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N3CKBKD,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N3CKBKD,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N4TGPCT,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N4TGPCT,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N58WYS7,computer_add_on,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N58WYS7,computer_add_on,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N5UR3ZB,shoes,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B01N5UR3ZB,shoes,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B01N7SUGDI,sandal,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N7SUGDI,sandal,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01N7XN9OP,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B01N7XN9OP,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B01NAUHIYO,finering,1,1000,0.2,5,0.0,0.0,0.0,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163
image,faiss_flat,image_B01NAUHIYO,finering,1,1000,0.2,5,0.0,0.0,0.0,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163
image,numpy_exact,image_B01NBL18SK,tea,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B01NBL18SK,tea,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B06VWTG1DW,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B06VWTG1DW,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B06WWHTNLT,finering,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,faiss_flat,image_B06WWHTNLT,finering,1,1000,0.5,2,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575
image,numpy_exact,image_B06XRVCT9R,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B06XRVCT9R,shoes,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B06Y5DF5GD,home_bed_and_bath,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B06Y5DF5GD,home_bed_and_bath,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B07124WN22,ottoman,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,image_B07124WN22,ottoman,1,1000,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,image_B0716ZWX4K,electronic_adapter,1,1000,0.0625,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24465054211822604
image,faiss_flat,image_B0716ZWX4K,electronic_adapter,1,1000,0.0625,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24465054211822604
